"UniqID"	"R_Id_db4"	"ID"	"TAXONID"	"Original_n"	"TYPE"	"TYPESOURCE"	"DATACOL_SO"	"CITATION"	"FILENAME"	"INSTNAME"	"INSTCODE"	"STORAGE"	"IDSOURCE"	"ACCENUMB"	"DONORNAME"	"DONORCODE"	"DONORNUMB"	"DUPLSITE"	"RIdentifie"	"FullAccept"	"FAMILY"	"GENUS"	"SPECIES"	"SPAUTHOR"	"RANK1"	"SUBTAXA"	"SUBTAUTHOR"	"TAXON"	"DETBY"	"COLLECTOR"	"COLLNUMB"	"COLLDATE"	"COLLDD"	"COLLMM"	"COLLYY"	"NAMECTY"	"ORIGCTY"	"ADM1"	"ADM2"	"ADM3"	"ADM4"	"COLLSITE"	"GEOREFMETH"	"COORD_SOUR"	"DECLATITUD"	"DECLONGITU"	"COORDDATUM"	"COORDUNCER"	"ELEVATION"	"SAMPSTAT"	"final_cult"	"HABITAT_TX"	"COLLSRC"	"REMARKS"	"NOTES"	"COMMENTS"	"ISSUES"	"key"	"fieldsWith"	"locNA"	"bbc_126"	"bbc_370"	"bbc_585"	"CNRM_126"	"CNRM_370"	"CNRM_585"	"IPSL_126"	"IPSL_370"	"IPSL_585"	"BBC_126_B12"	"BBC_370_B12"	"BBC_585_B12"	"IPSL_126_B12"	"IPSL_370_B12"	"IPSL_585_B12"	"CNRM_126_B12"	"CNRM_370_B12"	"CNRM_585_B12"
"GE_221939"	1231145	116661	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"Western Regional Plant Introduction Station, USDA-ARS, Washington State University"	"USA022"	"10"	"W6 21730"	"W6 21730"	"NA"	"NA"	"NA"	"NA"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"UKR-99-046"	"19990728"	"NA"	"NA"	"NA"	"Ukraine"	"UKR"	"NA"	"NA"	"NA"	"Near Black Sea and Sanatome along road A-294."	"Near Black Sea and Sanatome along road A-294."	"NA"	"NA"	44.40416667	33.825	"NA"	"NA"	"230"	"100"	"WILD"	"NA"	"10"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  33.82500000_ 44.40416667"	32	"FALSE"	11.9000005722	11.7958335876	11.9875001907	11.5958337784	11.4624996185	11.8333330154	11.5958328247	11.6833333969	11.3458337784	584	605	580	589	583	586	587	575	579
"GE_221945"	1231182	3136809	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"Genebank, Leibniz Institute of Plant Genetics and Crop Plant Research"	"DEU146"	"13"	"LENS 212"	"LENS 212"	"NA"	"NA"	"NA"	"NOR051"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"5318"	"19800612"	"NA"	"NA"	"NA"	"Italy"	"ITA"	"NA"	"NA"	"NA"	"3 km N Santa Cesarea Terme, Küste abfallende Steilhänge (Puglia)"	"3 km N Santa Cesarea Terme, Küste abfallende Steilhänge (Puglia)"	"NA"	"NA"	40.063611	18.466389	"NA"	"NA"	"80"	"100"	"WILD"	"NA"	"99"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  18.46638900_ 40.06361100"	33	"FALSE"	17.9874992371	18.1124992371	18.25	18.1333332062	17.9791660309	18.2666664124	18.1333332062	18.2124996185	18.0708332062	657	681	635	651	641	653	647	637	657
"GE_222000"	1231122	648679	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 72564"	"IG 72564"	"Washington State University"	"USA374"	"17"	"MEX002"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"NA"	"1983"	"NA"	"NA"	"NA"	"Turkey"	"TUR"	"NA"	"NA"	"NA"	"Izmir. Beydag ( km 17979)"	"Izmir. Beydag ( km 17979)"	"NA"	"NA"	38.0833	28.2	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  28.20000000_ 38.08330000"	33	"FALSE"	14.7125005722	14.8083333969	15.0249996185	14.9375	14.7458333969	15.0375003815	14.8291664124	14.8958330154	14.7791662216	703	748	701	707	697	693	718	716	726
"GE_222001"	1231151	648675	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 72565"	"IG 72565"	"Washington State University"	"USA374"	"Hoffman # 35"	"MEX002"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"Ladizinsky 78"	"1983"	"NA"	"NA"	"NA"	"Italy"	"ITA"	"NA"	"NA"	"NA"	"Puglia. Massafra"	"Puglia. Massafra"	"NA"	"NA"	40.6	17.15	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  17.15000000_ 40.60000000"	34	"FALSE"	16.1875	16.3708324432	16.5541667938	16.3541660309	16.2124996185	16.4624996185	16.3541660309	16.4291667938	16.2666664124	584	612	575	584	569	583	583	568	584
"GE_222002"	1231141	648676	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 72566"	"IG 72566"	"Washington State University"	"USA374"	"Hoffman # 36"	"MEX002"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"Ladizinsky 79"	"1983"	"NA"	"NA"	"NA"	"Croatia"	"HRV"	"NA"	"NA"	"NA"	"Karlovac"	"Karlovac"	"NA"	"NA"	45.5	15.5706	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  15.57060000_ 45.50000000"	34	"FALSE"	12.625	12.875	13.1875	12.7791671753	12.6000003815	12.8874998093	12.7458333969	12.9250001907	12.6416664124	1082	1055	1049	1069	1050	1068	1045	1059	1059
"GE_222003"	1231133	648673	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 72567"	"IG 72567"	"Washington State University"	"USA374"	"Hoffman # 37"	"MEX002"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"Ladizinsky 80"	"1983"	"NA"	"NA"	"NA"	"Slovenia"	"SVN"	"NA"	"NA"	"NA"	"Slovenia. Triberij (Trebnje?)"	"Slovenia. Triberij (Trebnje?)"	"NA"	"NA"	45.9167	15.0167	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  15.01670000_ 45.91670000"	34	"FALSE"	10.9916667938	11.2333335876	11.5375003815	11.1166667938	10.9624996185	11.25	11.125	11.2833328247	11.0249996185	1202	1175	1163	1207	1186	1212	1180	1193	1188
"GE_222009"	1231192	648670	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 72574"	"IG 72574"	"Washington State University"	"USA374"	"Hoffman # 44"	"MEX002"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"Ladizinsky 89"	"1983"	"NA"	"NA"	"NA"	"Montenegro"	"MNE"	"NA"	"NA"	"NA"	"Montenegro. Risan"	"Montenegro. Risan"	"NA"	"NA"	42.5147	18.7	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  18.70000000_ 42.51470000"	34	"FALSE"	15.0124998093	15.2583332062	15.4916667938	15.1833333969	15	15.3125	15.1750001907	15.3083333969	15.0625	1370	1388	1309	1348	1341	1342	1307	1299	1325
"GE_222010"	1231173	648667	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 72575"	"IG 72575"	"Washington State University"	"USA374"	"Hoffman # 45"	"MEX002"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"Ladizinsky 91"	"1983"	"NA"	"NA"	"NA"	"Croatia"	"HRV"	"NA"	"NA"	"NA"	"Koroz"	"Koroz"	"NA"	"NA"	42.5833	18.2833	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  18.28330000_ 42.58330000"	34	"FALSE"	17.3041667938	17.5416660309	17.7791671753	17.4541664124	17.2875003815	17.5916671753	17.4666671753	17.5791664124	17.3416671753	1282	1293	1220	1251	1247	1244	1219	1208	1234
"GE_222011"	1231162	648665	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 72576"	"IG 72576"	"Washington State University"	"USA374"	"Hoffman # 46"	"MEX002"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"Ladizinsky 92"	"1983"	"NA"	"NA"	"NA"	"Bosnia & Herzegovina"	"BIH"	"NA"	"NA"	"NA"	"Bosnia-Herzegovina. Mostar"	"Bosnia-Herzegovina. Mostar"	"NA"	"NA"	43.3333	17.8333	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  17.83330000_ 43.33330000"	34	"FALSE"	16.7749996185	17.0249996185	17.2749996185	16.8624992371	16.6833324432	16.9916667938	16.9041671753	17.0249996185	16.7666664124	1146	1146	1087	1114	1105	1111	1085	1085	1103
"GE_222015"	1231123	648662	123870	"Lens ervoides (Brign.) Grande"	"G"	40	"NA"	"NA"	"DB2"	"International Centre for Agricultural Research in Dry Areas"	"SYR002"	"10"	"IG 72580"	"IG 72580"	"Washington State University"	"USA374"	"Hoffman # 85"	"MEX002"	537605	"Lens ervoides (Brign.) Grande"	"Fabaceae"	"Lens"	"ervoides"	"(Brign.) Grande"	"NA"	"NA"	"NA"	"Lens_ervoides"	"NA"	"NA"	"NA"	"1983"	"NA"	"NA"	"NA"	"Turkey"	"TUR"	"NA"	"NA"	"NA"	"Denizli. Yarangume forest ( km 18644)"	"Denizli. Yarangume forest ( km 18644)"	"NA"	"NA"	37.55	29.0667	"NA"	"NA"	"NA"	"100"	"WILD"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"Lens_ervoides_  29.06670000_ 37.55000000"	33	"FALSE"	14.2875003815	14.3874998093	14.6041669846	14.5166664124	14.3000001907	14.6041669846	14.3208332062	14.3999996185	14.3125	611	657	624	627	615	613	636	631	641
