"CODIGO_IAS"	"Unique_Ide"	"Taxon"	"Lentil_Rus"	"Resistance"	"Latitude"	"Longitude"	"Country"	"Province"	"Locality"	"ELC_catego"	"BBC_126"	"BBC_370"	"BBC_585"	"CNRM_126"	"CNRM_370"	"CNRM_585"	"IPSL_126"	"IPSL_370"	"IPSL_585"	"BCC_126_B12"	"BCC_370_B12"	"BCC_585_B12"	"IPSL_126_B12"	"IPSL_370_B12"	"IPSL_585_B12"	"CNRM_126_B12"	"CNRM_370_B12"	"CNRM_585_B12"	"CURRENT_BIO1"	"CURRENT_BIO12"
1002	"Eval2"	"Lens culinaris"	58	0	37.49194444	-2.773611111	"Spain"	"Granada"	"Baza"	"21"	15.2875003815	15.5166664124	15.7624998093	15.4458332062	15.3374996185	15.4958333969	15.5333328247	15.5749998093	15.5833330154	393	402	389	375	377	366	393	386	380	142.839996338	443.359985352
1003	"Eval3"	"Lens culinaris"	62	0	37.78694444	-5.27	"Spain"	"Córdoba"	"Montealto (Hornachuelos)"	"2"	18.7000007629	18.9083328247	19.2333335876	18.8500003815	18.7625007629	18.8999996185	18.8833332062	18.9166660309	18.9708328247	530	527	488	492	497	485	527	523	515	178.600006104	605.280029297
1004	"Eval4"	"Lens culinaris"	71	0	28.79722222	-17.75861111	"Spain"	"Tenerife"	"San Andrés"	"2"	19.5	19.5958328247	19.7875003815	19.8333339691	19.8624992371	19.8958339691	19.7333335876	19.7875003815	19.6166667938	329	321	331	316	319	328	328	320	315	191.125	370.3125
1005	"Eval5"	"Lens culinaris"	77	0	37.76888889	-3.956666667	"Spain"	"Jaén"	"Torredonjimeno"	"2"	17.5750007629	17.8125	18.0916671753	17.7208328247	17.6291675568	17.7916660309	17.8083343506	17.8416671753	17.8791656494	467	473	448	442	445	432	471	460	459	165.479995728	563.799987793
1006	"Eval6"	"Lens culinaris"	72	0	42.22166667	-4.855555556	"Spain"	"Palencia"	"Cisneros"	"24"	12.8208332062	13.1041669846	13.4041671753	13.0500001907	12.9291667938	13.0333337784	13.1916666031	13.2958335876	13.1583337784	462	478	430	451	454	445	468	455	460	116.400001526	489.720001221
1015	"Eval15"	"Lens culinaris"	73	0	42.4925	-4.603055556	"Spain"	"Palencia"	"Villota del Duque (Loma de Ucieza)"	"24"	12.1416664124	12.3833332062	12.6583328247	12.3458337784	12.2416667938	12.3416662216	12.4749994278	12.5958337784	12.4458332062	518	535	483	504	504	498	529	515	523	108.680000305	585.960021973
1018	"Eval18"	"Lens culinaris"	36	0	39.77111111	3.024444444	"Spain"	"Baleares"	"Sa Pobla"	"2"	17.7250003815	17.8416671753	18.1333332062	17.7958335876	17.6916656494	17.8083324432	17.7833328247	17.8458328247	17.7291660309	661	675	676	641	651	662	682	670	664	165.559997559	622.960021973
1019	"Eval19"	"Lens culinaris"	62	0	41.33166667	-5.080277778	"Spain"	"Valladolid"	"Nava del Rey"	"21"	13.3874998093	13.6999998093	14.0041666031	13.6499996185	13.5749998093	13.6875	13.8000001907	13.875	13.75	415	431	385	403	407	390	413	402	404	122.040000916	376.839996338
1020	"Eval20"	"Lens culinaris"	58	0	42.13388889	-5.089166667	"Spain"	"Valladolid"	"Bustillo de Chaves"	"24"	12.9916667938	13.2833337784	13.5874996185	13.2208328247	13.1083335876	13.2208337784	13.375	13.4750003815	13.3374996185	479	498	446	469	471	463	483	474	475	116.680000305	465.720001221
1023	"Eval23"	"Lens culinaris"	70	0	42.21333333	-5.204722222	"Spain"	"Valladolid"	"Saelices de Moyarga"	"24"	13.0666666031	13.3583335876	13.6708335876	13.2958335876	13.2041664124	13.3083333969	13.4499998093	13.5583333969	13.4125003815	495	516	461	484	488	477	500	490	493	117.199996948	474.640014648
