"inputs.data.species";"DECLONGITUDE";"DECLATITUDE";"bio_1";"srad_12";"srad_annual";"t_bulk_dens";"t_sand";"t_soilwater_cap";"t_teb";"long";"ROYA_CAMPO_AVERAGE_DSR";"CODIGO_BANCO";"CODIGO_IAS";"DECLONGROUND";"DECLATROUND"
1;5,13333333;43,91666667;110,919998168945;5194;14868,75;1451,69995117188;37;23,7000007629395;28,7999992370605;5,14583333333331;0;"PI 572342";"1595";5,13;43,91
1;16,95027778;43,35694444;145,125;4663;14057,9169921875;1416,52502441406;44;24,9249992370605;26,7999992370605;16,9375;0;"PI 572349";"1599";16,95;43,35
1;33,41333333;36,33305556;147,679992675781;7992;18051,416015625;1516,52502441406;43;22,7749996185303;15,6000003814697;33,3958333333333;0;"PI 572406";"1631";33,41;36,33
1;85,51666667;25,18333333;263,679992675781;15245;18996,083984375;1539,25;47;21,7999992370605;8,30000019073486;85,5208333333333;0,454545454545455;"PI 472137";"1524";85,51;25,18
1;74,35;32,33333333;238;9956;17067,666015625;1590,42504882812;42;21,0249996185303;13,8000001907349;74,3541666666667;0,909090909090909;"PI 426797";"1447";74,34;32,33
1;37,410987;37,079643;154,479995727539;7263;17863,916015625;1505,25;26;25,7250003814697;13,3999996185303;37,3958333333333;0,909090909090909;"PI 572384";"1618";37,41;37,07
1;32,989336;37,823196;112,199996948242;7029;17463,666015625;1477,90002441406;40;23,5499992370605;33,2000007629395;32,9791666666667;1,81818181818182;"PI 572385";"1619";32,98;37,82
1;17,11527778;40,59194444;156,440002441406;5724;15040,4169921875;1482,375;42;24,7749996185303;14;17,1041666666667;3,18181818181818;"PI 572317";"1572";17,11;40,59
1;22,54444444;41,54361111;128,399993896484;4866;14094,5830078125;1493,375;77,2399978637695;21,7749996185303;6,82000017166138;22,5625;3,63636363636364;"PI 368647";"1433";22,54;41,54
1;73,06666667;30,06666667;252;12386;19385,333984375;1533,19995117188;35;18,3500003814697;19,7999992370605;73,0625;3,63636363636364;"PI 426784";"1446";73,06;30,06
1;77,7;28,98333333;247;12574;18370,583984375;1536,92504882812;47;19,7999992370605;8,30000019073486;77,6875;6,36363636363636;"PI 472380";"1536";77,7;28,98
1;-98,86666667;19,51666667;150,800003051758;14905;18326,166015625;1397,125;25;24,3250007629395;16,2000007629395;-98,8541666666667;7,27272727272727;"PI 458503";"1517";-98,86;19,51
1;30,15;36,3;183,33332824707;8112;18020,166015625;1481,44995117188;43;22,7999992370605;15,6000003814697;30,1458333333333;9,09090909090909;"PI 572339";"1594";30,15;36,29
1;37,6;38,38333333;82,5999984741211;6778;17344,083984375;1412,97497558594;40;25,4500007629395;33,2000007629395;37,6041666666667;9,54545454545454;"PI 612249";"1632";37,6;38,38
1;21,99472222;41,81194444;125,519996643066;4795;14292,5830078125;1508,52502441406;40,2799987792969;23,2250003814697;21,3559989929199;21,9791666666667;10;"PI 357225";"1431";21,99;41,81
1;39,6;11,5;198,800003051758;18297;19665,333984375;1375,55004882812;24,5200004577637;31,8999996185303;36,1599998474121;39,6041666666667;13,6363636363636;"PI 358602";"1432";39,6;11,5
1;-5,36666667;42,33333333;111,919998168945;4975;14742;1516,07495117188;21,3199996948242;20;43,6719970703125;-5,35416666666669;13,6363636363636;"PI 533693";"1565";-5,36;42,33
1;-72,11666667;-36,6;133,559997558594;24764;15332,75;1203,19995117188;51;23,7000007629395;8,5;-72,1041666666667;15,1515151515152;"PI299177";"1392";-72,11;-36,6
1;47,18333333;35,28333333;90,1600036621094;8257;17294,833984375;1489,09997558594;43;24,7749996185303;15,6000003814697;47,1875;16,3636363636364;"PI 429369";"1449";47,18;35,28
1;-3,0625;37,18277778;129,080001831055;8028;17207,166015625;1450,02502441406;36;22,0249996185303;24,2999992370605;-3,0625;16,7398057320468;"BGE026701";"1145";-3,06;37,18
1;-2,947222222;37,17722222;131,119995117188;7943;17196,833984375;1473,09997558594;36;23;24,2999992370605;-2,9375;16,8442826374179;"BGE025292";"1137";-2,94;37,17
1;-8,931666667;43,13472222;136,639999389648;4449;12995,6669921875;1312,52502441406;42,5999984741211;22;5,26000022888184;-8,9375;16,8547595857661;"BGE034194";"1168";-8,93;43,13
1;47;42;-0,680000007152557;5925;14061,4169921875;1312,32495117188;76;19,1499996185303;3,40000009536743;47,0208333333333;18,1818181818182;"PI320936";"1409";47;42
1;51,749865;32,608304;156,720001220703;10082;18468,25;1535,34997558594;43;19,9750003814697;15,6000003814697;51,7291666666667;18,1818181818182;"PI 432147";"1501";51,74;32,6
1;80;28;250,039993286133;13346;18906,25;1510,22497558594;42;22,7999992370605;13,8000001907349;80,0208333333333;18,1818181818182;"PI 472274";"1533";80;28
