"Latitude_decimal";"Longitude_decimal";"test_index";"MagnitudPresent";"MagnitudFuture";"Variation";"VariationPerc";"simbolo";"Protected";"ACCENUMB";"COLLSITE";"FUTURE_BIO1";"FUTURE_BIO12";"CURRENT_BIO1";"CURRENT_BIO12";"VeryHighValue"
34,8755;33,1615;590;36,9806888275025;41,9376669388505;4,95697811134798;13,4042341246534;"FALSE";"Yes";"GE_222542";"Ora";151,916666031;788;170,0516701;608;FALSE
34,87556;33,16167;91;29,5740887043365;28,8356587496236;-0,738429954712846;-2,49688151711187;"TRUE";"Yes";"GE_222324";"Nicosia District  Ora. Ora";151,916666031;788;170,0516701;608;TRUE
34,886389;32,859444;45;27,9397009872942;31,3368191729204;3,39711818562616;12,1587492549438;"FALSE";"Yes";"ID_6953331";"Pano Platres";133,999996185;814;153,8633347;648;FALSE
34,8925;33,1125;90;32,5935584555783;29,8688182766664;-2,72474017891184;-8,35975053974358;"TRUE";"Yes";"GE_222237";"Profitas Elias up the track up the village after water tank on the road to Farmaka";155,749998093;747;139,7399998;822;FALSE
34,9018;32,5427;82;35,3779860123271;36,4326486980487;1,05466268572161;2,98112697922975;"FALSE";"No";"0";"";180,458335876;489;168,2683372;509;FALSE
34,90528;33,09111;88;29,2206436064536;30,3531349869419;1,13249138048828;3,87565515578911;"FALSE";"Yes";"GE_222322";"Nicosia District  Palaichori. Palaichori";155,749998093;747;143,6399937;778;TRUE
34,9056;32,6178;83;31,0052584604349;31,5035480263484;0,498289565913513;1,60711308550893;"FALSE";"Yes";"GE_222239";"Pano Panagia";166,208324432;578;149,8350048;630;FALSE
34,91028;33,35861;594;56,1111249801296;41,0208238007029;-15,0903011794267;-26,8935994150368;"TRUE";"Yes";"GE_663334";"Larnaca District  Delikipos. Delikipos dum";197,000007629;474;182,4383354;523;FALSE
34,9194;33,1357;589;36,980831450767;48,7316732280547;11,7508417772877;31,7754937255311;"FALSE";"Yes";"GE_222543";"1 km before Farmakas";162,833328247;703;139,7399998;822;FALSE
34,96417;32,8175;86;29,221713260317;31,5682774610965;2,34656420077954;8,03020746893087;"FALSE";"Yes";"GE_222326";"Nicosia District  Prodromos. Prodromos";147,958335876;725;98,96666527;930;FALSE
34,9643;32,8174;586;42,649111912504;32,08394664456;-10,5651652679441;-24,7722984000671;"TRUE";"Yes";"GE_222545";"Prodromos on the road side to the Forestry Collage 150 m from the parking area";147,958335876;725;98,96666527;930;FALSE
34,99333;32,83306;587;41,6303132271621;43,4105012948138;1,78018806765165;4,27618225675551;"FALSE";"Yes";"GE_663332";"Nicosia District  Kalopanagiotis. Kalopanagiotis";147,958335876;725;129,0516663;800;FALSE
35,01306;33,08139;588;43,9175976429255;39,7736347766252;-4,14396286630027;-9,43576854998535;"TRUE";"Yes";"GE_663335";"Nicosia District  Adelfi forest. Road to Platanistassa, close to Gefyri Panagias";180,125007629;558;171,1800003;569;FALSE
35,01944;32,63111;84;29,103631348146;33,1347195916171;4,03108824347106;13,8508084961977;"FALSE";"Yes";"GE_222328";"Paphos District  Paphos forest. Stavros tis Psokas. Collected by the site of the road towards  Stavros tis Psokas, soon away from the station.";144,291667938;715;131,9683361;738;FALSE
35,15;25,95;397;53,3137238571247;36,0965140685109;-17,2172097886139;-32,2941421888935;"TRUE";"No";"0";"";175,874996185;716;156,3249969;774;FALSE
35,35;23,883333;375;30,6870588361559;30,5690788518172;-0,117979984338643;-0,384461687803189;"TRUE";"Yes";"ID_6954603";"SE slopes of the Omalos dolina, near Xyloskala.";139,666662216;857;127,0533371;864;FALSE
35,55;27,116667;40;30,2933222871381;32,8627776914689;2,56945540433077;8,48192014060372;"FALSE";"No";"0";"";188,583335876;678;178,7266731;669;FALSE
36,1;32,8167;85;30,4811257586095;31,6706543817869;1,18952862317742;3,90250882660208;"FALSE";"No";"0";"";193,374996185;689;192,1899986;699;FALSE
36,1;32,8333;87;31,3101280837484;27,6315183487105;-3,67860973503787;-11,7489450225126;"TRUE";"No";"0";"";193,374996185;689;192,1899986;699;FALSE
36,1;35,95;97;38,7782425866848;29,6380101428599;-9,14023244382488;-23,5705174709576;"TRUE";"No";"0";"";202,5;896;189,0699959;960;FALSE
36,1333;36,1667;98;36,6884213465341;56,4245409358743;19,7361195893402;53,7938642901153;"FALSE";"No";"0";"";187,999992371;894;175,1883316;946;FALSE
36,2;27,866667;41;28,9628169966753;29,8902405850698;0,927423588394483;3,20211804155978;"FALSE";"Yes";"ID_6953152";"Rodos. Mt. Attaviros, just SW of Embonas.";165,625;841;172,8583336;771;TRUE
36,216667;27,866667;42;28,9628169966753;35,8952053181145;6,93238832143927;23,935476726021;"FALSE";"Yes";"ID_6953146";"Rodos. 1 km S Embonas";181,166667938;782;172,8583336;771;FALSE
36,25;29,6833;74;24,330293870089;29,9588325910741;5,62853872098514;23,1338706841709;"FALSE";"No";"0";"";172,708339691;716;159,0066719;719;FALSE
36,2833;30,1;75;26,8726713951628;44,8524998670552;17,9798284718924;66,9074845872184;"FALSE";"No";"0";"";177,208328247;728;163,7239647;734;FALSE
36,3;30,1333;76;27,230924390012;43,3333303718765;16,1024059818645;59,1327923769296;"FALSE";"No";"0";"";195,833339691;855;179,4687462;834;FALSE
